sample	unit	platform	fq1	fq2
SRR5891642	TA-93	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891642_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891642_1.fastq.gzTA-93_2.fastq.gz
SRR5891643	TA-240	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891643_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891643_1.fastq.gzTA-240_2.fastq.gz
SRR5891644	TA-349	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891644_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891644_1.fastq.gzTA-349_2.fastq.gz
SRR5891645	TA-351	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891645_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891645_1.fastq.gzTA-351_2.fastq.gz
SRR5891646	TA-46	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891646_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891646_1.fastq.gzTA-46_2.fastq.gz
SRR5891647	TA-195	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891647_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891647_1.fastq.gzTA-195_2.fastq.gz
SRR5891648	TA-196	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891648_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891648_1.fastq.gzTA-196_2.fastq.gz
SRR5891649	TA-4	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891649_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891649_1.fastq.gzTA-4_2.fastq.gz
SRR5891650	TA-198	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891650_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891650_1.fastq.gzTA-198_2.fastq.gz
SRR5891651	TA-2	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891651_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891651_1.fastq.gzTA-2_2.fastq.gz
SRR5891652	TA-5888	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891652_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891652_1.fastq.gzTA-5888_2.fastq.gz
SRR5891653	TA-7	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891653_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891653_1.fastq.gzTA-7_2.fastq.gz
SRR5891654	TA-6158	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891654_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891654_1.fastq.gzTA-6158_2.fastq.gz
SRR5891655	TA-279	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891655_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891655_1.fastq.gzTA-279_2.fastq.gz
SRR5891656	TA-307	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891656_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891656_1.fastq.gzTA-307_2.fastq.gz
SRR5891657	TA-54	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891657_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891657_1.fastq.gzTA-54_2.fastq.gz
SRR5891658	TA-34	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891658_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891658_1.fastq.gzTA-34_2.fastq.gz
SRR5891659	TA-105	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891659_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891659_1.fastq.gzTA-105_2.fastq.gz
SRR5891660	TA-53	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891660_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891660_1.fastq.gzTA-53_2.fastq.gz
SRR5891661	TA-360	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891661_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891661_1.fastq.gzTA-360_2.fastq.gz
SRR5891662	TA-6	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891662_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891662_1.fastq.gzTA-6_2.fastq.gz
SRR5891663	TA-6140	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891663_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891663_1.fastq.gzTA-6140_2.fastq.gz
SRR5891664	TA-6139	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891664_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891664_1.fastq.gzTA-6139_2.fastq.gz
SRR5891665	TA-6155	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891665_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891665_1.fastq.gzTA-6155_2.fastq.gz
SRR5891666	TA-320	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891666_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891666_1.fastq.gzTA-320_2.fastq.gz
SRR5891667	TA-311	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891667_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891667_1.fastq.gzTA-311_2.fastq.gz
SRR5891668	TA-70	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891668_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891668_1.fastq.gzTA-70_2.fastq.gz
SRR5891669	TA-319	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891669_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891669_1.fastq.gzTA-319_2.fastq.gz
SRR5891670	TA-71	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891670_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891670_1.fastq.gzTA-71_2.fastq.gz
SRR5891671	TA-321	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891671_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891671_1.fastq.gzTA-321_2.fastq.gz
SRR5891672	TA-77	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891672_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891672_1.fastq.gzTA-77_2.fastq.gz
SRR5891673	TA-78	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891673_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891673_1.fastq.gzTA-78_2.fastq.gz
SRR5891674	TA-38	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891674_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891674_1.fastq.gzTA-38_2.fastq.gz
SRR5891675	TA-309	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891675_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891675_1.fastq.gzTA-309_2.fastq.gz
SRR5891676	TA-5607	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891676_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891676_1.fastq.gzTA-5607_2.fastq.gz
SRR5891677	TA-6147	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891677_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891677_1.fastq.gzTA-6147_2.fastq.gz
SRR5891678	RM02	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891678_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891678_1.fastq.gzRM02_2.fastq.gz
SRR5891679	TA-5905	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891679_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891679_1.fastq.gzTA-5905_2.fastq.gz
SRR5891680	TA-6550	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891680_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891680_1.fastq.gzTA-6550_2.fastq.gz
SRR5891681	TA-294	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891681_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891681_1.fastq.gzTA-294_2.fastq.gz
SRR5891682	TA-25	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891682_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891682_1.fastq.gzTA-25_2.fastq.gz
SRR5891683	TA-19	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891683_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891683_1.fastq.gzTA-19_2.fastq.gz
SRR5891684	o1	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891684_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891684_1.fastq.gzo1_2.fastq.gz
SRR5891685	TA-346	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891685_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891685_1.fastq.gzTA-346_2.fastq.gz
SRR5891686	TA-176	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891686_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891686_1.fastq.gzTA-176_2.fastq.gz
SRR5891687	TA-174	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891687_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891687_1.fastq.gzTA-174_2.fastq.gz
SRR5891688	TA-83	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891688_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891688_1.fastq.gzTA-83_2.fastq.gz
SRR5891689	TA-122	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891689_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891689_1.fastq.gzTA-122_2.fastq.gz
SRR5891690	TA-335	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891690_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891690_1.fastq.gzTA-335_2.fastq.gz
SRR5891691	TA-423	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891691_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891691_1.fastq.gzTA-423_2.fastq.gz
SRR5891692	TA-96	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891692_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891692_1.fastq.gzTA-96_2.fastq.gz
SRR5891693	TA-345	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891693_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891693_1.fastq.gzTA-345_2.fastq.gz
SRR5891694	TA-86	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891694_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891694_1.fastq.gzTA-86_2.fastq.gz
SRR5891695	TA-112	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891695_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891695_1.fastq.gzTA-112_2.fastq.gz
SRR5891696	TA-80	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891696_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891696_1.fastq.gzTA-80_2.fastq.gz
SRR5891697	TA-250	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891697_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891697_1.fastq.gzTA-250_2.fastq.gz
SRR5891698	TA-63	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891698_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891698_1.fastq.gzTA-63_2.fastq.gz
SRR5891699	TA-6542	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891699_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891699_1.fastq.gzTA-6542_2.fastq.gz
SRR5891700	TA-125	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891700_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891700_1.fastq.gzTA-125_2.fastq.gz
SRR5891701	TA-193	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891701_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891701_1.fastq.gzTA-193_2.fastq.gz
SRR5891702	TA-6190	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891702_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891702_1.fastq.gzTA-6190_2.fastq.gz
SRR5891703	K27	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891703_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891703_1.fastq.gzK27_2.fastq.gz
SRR5891704	TA-6195	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891704_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891704_1.fastq.gzTA-6195_2.fastq.gz
